"nci60","gdsc1","gdsc2"
"BR:MCF7","MCF7","MCF7"
"BR:MDA-MB-231","MDA-MB-231","MDA-MB-231"
"BR:HS 578T","Hs-578-T","Hs-578-T"
"BR:BT-549","BT-549","BT-549"
"BR:T-47D","T47D","T47D"
"CNS:SF-268","SF268","SF268"
"CNS:SF-295","SF295","SF295"
"CNS:SF-539","SF539","SF539"
"CNS:SNB-75","SNB75","SNB75"
"CNS:U251","U251","U251"
"CO:COLO 205","COLO-205","COLO-205"
"CO:HCC-2998","HCC2998","HCC2998"
"CO:HCT-116","HCT-116","HCT-116"
"CO:HCT-15","HCT-15","HCT-15"
"CO:HT29","HT-29","HT-29"
"CO:KM12","KM12","KM12"
"CO:SW-620","SW620","SW620"
"LE:CCRF-CEM","CCRF-CEM","CCRF-CEM"
"LE:HL-60(TB)","HL-60","HL-60"
"LE:K-562","K-562","K-562"
"LE:MOLT-4","MOLT-4","MOLT-4"
"LE:RPMI-8226","RPMI-8226","RPMI-8226"
"LE:SR","SR","SR"
"ME:LOX IMVI","LOXIMVI","LOXIMVI"
"ME:M14","M14","M14"
"ME:SK-MEL-2","SK-MEL-2","SK-MEL-2"
"ME:SK-MEL-28","SK-MEL-28","SK-MEL-28"
"ME:SK-MEL-5","SK-MEL-5","SK-MEL-5"
"ME:UACC-257","UACC-257","UACC-257"
"ME:UACC-62","UACC-62","UACC-62"
"LC:A549/ATCC","A549","A549"
"LC:EKVX","EKVX","EKVX"
"LC:HOP-62","HOP-62","HOP-62"
"LC:HOP-92","HOP-92","HOP-92"
"LC:NCI-H226","NCI-H226","NCI-H226"
"LC:NCI-H23","NCI-H23","NCI-H23"
"LC:NCI-H322M","NCI-H322M","NCI-H322M"
"LC:NCI-H460","NCI-H460","NCI-H460"
"LC:NCI-H522","NCI-H522","NCI-H522"
"OV:IGROV1","IGROV-1","IGROV-1"
"OV:OVCAR-3","OVCAR-3","OVCAR-3"
"OV:OVCAR-4","OVCAR-4","OVCAR-4"
"OV:OVCAR-5","OVCAR-5","OVCAR-5"
"OV:OVCAR-8","OVCAR-8","OVCAR-8"
"OV:SK-OV-3","SK-OV-3","SK-OV-3"
"PR:PC-3","PC-3","PC-3"
"PR:DU-145","DU-145","DU-145"
"RE:786-0","786-0","786-0"
"RE:A498","A498","A498"
"RE:ACHN","ACHN","ACHN"
"RE:CAKI-1","CAKI-1","CAKI-1"
"RE:RXF 393","RXF393","RXF393"
"RE:SN12C","SN12C","SN12C"
"RE:TK-10","TK10","TK10"
"RE:UO-31","U031","U031"
